Titel;Frage;Ebene;Metabereichtyp;Bereichtyp;Raumtyp;Objektklasse;Objekttyp;Antworttyp;Antwortoptionen;Standard Antwort;Einheit;Bedingung;Pflicht;Foto_Pflicht;HilfeText;Kluster;Reihenfolge;Activ;Fragekatalog;Autor;Version;Änderungsdatum;Min_LOD;Zielgruppe;Fototyp;HilfeMedien;Objektart
LG_Feuchte;Feuchte-/Schimmelspuren? (Mehrfach);Raum;;;Lager;;;Mehrfachauswahl;"keine;feuchte Wände;muffiger Geruch;Salpeter/Ausblühungen;weiß nicht";;-;immer;Nein;Nein;;Schäden / Mangel;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;200;Laie;;;
TE_Verbrennungsluft;Verbrennungsluft-Versorgung im Raum?;Raum;;;Technik;;;Einzelauswahl;"Öffnung/Leitung ins Freie;keine (raumluftabhängig);nicht relevant (elektr. Erzeuger);weiß nicht";;-;immer;Ja;Nein;Für Feuerstätten (Gas/Öl/Pellet) zwingend – beeinflusst die Lüftungsbilanz.;Lüftung;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;200;Laie;;;
TE_Brandabschnitt;Eigener Brandabschnitt (F90/Brandschutztür)?;Raum;;;Technik;;;Einzelauswahl;"ja;nein;weiß nicht";;-;immer;Nein;Nein;;Bauphysik – Hülle;50;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;400;Fachkundig;;;
AU_Art;Art der Außenfläche?;Raum;;;Außen;;;Einzelauswahl;"Balkon;Loggia;Terrasse;Dachterrasse;Stellplatz;Grünfläche;sonstige;weiß nicht";;-;immer;Ja;Nein;;Nutzung & Betrieb;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;200;Laie;;;
AU_Anbindung;Bauliche Anbindung an das Gebäude?;Raum;;;Außen;;;Einzelauswahl;"auskragende Platte (Wärmebrücke);über beheiztem Raum;freistehend;weiß nicht";;-;immer;Nein;Nein;Auskragende Balkonplatten sind relevante Wärmebrücken.;Bauphysik – Hülle;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;400;Fachkundig;;;
KUE_Lueftung;Entlüftung / Dunstabzug?;Raum;;;Küche;;;Einzelauswahl;"Fensterlüftung;Umluft-Dunstabzug;Ablufthaube nach außen;zentrale Abluftanlage;keine;weiß nicht";;-;immer;Ja;Nein;Küche ist Abluftraum – für die Lüftungsbilanz relevant.;Lüftung;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;200;Laie;;;
KUE_AbluftVolumen;Abluftvolumenstrom (m³/h, falls bekannt)?;Raum;;;Küche;;;Zahl;;;m³/h;«KUE_Lueftung» ungleich Fensterlüftung;Nein;Nein;;Lüftung;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;400;Fachkundig;;;
KUE_Herd;Art des Kochfelds/Herds?;Raum;;;Küche;;;Einzelauswahl;"Elektro/Ceran;Induktion;Gasherd;keiner;weiß nicht";;-;immer;Ja;Nein;Gasherd → Verbrennungsluft und Gasanschluss werden relevant.;Nutzung & Betrieb;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;200;Laie;;;
KUE_Grossgeraete;Vorhandene Großgeräte? (Mehrfach);Raum;;;Küche;;;Mehrfachauswahl;"Kühl-/Gefriergerät;Geschirrspüler;Backofen;Waschmaschine;Trockner;Mikrowelle;keine;weiß nicht";;-;immer;Nein;Nein;Steuert Strom-, Wasser- und Abwasseranschlüsse.;Nutzung & Betrieb;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;200;Laie;;;
KUE_Feuchte;Feuchte-/Schimmelspuren? (Mehrfach);Raum;;;Küche;;;Mehrfachauswahl;"keine;Schimmel an Fugen;Feuchte an Wänden/Decke;abblätternde Farbe;weiß nicht";;-;immer;Nein;Nein;;Schäden / Mangel;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;200;Laie;;;
